All,Name,Party,State,bioguide
"Mailliard, William S. (Republican - California)","Mailliard, William S. ",Republican , California),M000070
"Martinez, Matthew G. (Democratic - California)","Martinez, Matthew G. ",Democratic , California),M000206
"Matsui, Doris O. (Democratic - California)","Matsui, Doris O. ",Democratic , California),M001163
"Matsui, Robert T. (Democratic - California)","Matsui, Robert T. ",Democratic , California),M000249
"McCarthy, Kevin (Republican - California)","McCarthy, Kevin ",Republican , California),M001165
"McClintock, Tom (Republican - California)","McClintock, Tom ",Republican , California),M001177
"McCloskey, Paul N., Jr. (Republican - California)","McCloskey, Paul N., Jr. ",Republican , California),M000343
"McFall, John J. (Democratic - California)","McFall, John J. ",Democratic , California),M000436
"McKeon, Howard P. ""Buck"" (Republican - California)","McKeon, Howard P. ""Buck"" ",Republican , California),M000508
"McNerney, Jerry (Democratic - California)","McNerney, Jerry ",Democratic , California),M001166
"Millender-McDonald, Juanita (Democratic - California)","Millender-McDonald, Juanita ",Democratic , California),M000714
"Miller, Gary G. (Republican - California)","Miller, Gary G. ",Republican , California),M001139
"Miller, George (Democratic - California)","Miller, George ",Democratic , California),M000725
"Mineta, Norman Y. (Democratic - California)","Mineta, Norman Y. ",Democratic , California),M000794
"Moorhead, Carlos J. (Republican - California)","Moorhead, Carlos J. ",Republican , California),M000926
"Moss, John E. (Democratic - California)","Moss, John E. ",Democratic , California),M001035
"Napolitano, Grace F. (Democratic - California)","Napolitano, Grace F. ",Democratic , California),N000179
"Negrete McLeod, Gloria (Democratic - California)","Negrete McLeod, Gloria ",Democratic , California),N000187
"Nunes, Devin (Republican - California)","Nunes, Devin ",Republican , California),N000181
"Ose, Doug (Republican - California)","Ose, Doug ",Republican , California),O000164
"Packard, Ron (Republican - California)","Packard, Ron ",Republican , California),P000005
"Panetta, Jimmy (Democratic - California)","Panetta, Jimmy ",Democratic , California),P000613
"Panetta, Leon (Democratic - California)","Panetta, Leon ",Democratic , California),P000047
"Pashayan, Charles, Jr. (Republican - California)","Pashayan, Charles, Jr. ",Republican , California),P000097
"Patterson, Jerry M. (Democratic - California)","Patterson, Jerry M. ",Democratic , California),P000121
"Pelosi, Nancy (Democratic - California)","Pelosi, Nancy ",Democratic , California),P000197
"Peters, Scott H. (Democratic - California)","Peters, Scott H. ",Democratic , California),P000608
"Pettis, Jerry L. (Republican - California)","Pettis, Jerry L. ",Republican , California),P000272
"Pettis, Shirley N. (Republican - California)","Pettis, Shirley N. ",Republican , California),P000273
"Pombo, Richard W. (Republican - California)","Pombo, Richard W. ",Republican , California),P000419
"Radanovich, George (Republican - California)","Radanovich, George ",Republican , California),R000004
"Rees, Thomas N. (Democratic - California)","Rees, Thomas N. ",Democratic , California),R000134
"Richardson, Laura (Democratic - California)","Richardson, Laura ",Democratic , California),R000581
"Riggs, Frank (Republican - California)","Riggs, Frank ",Republican , California),R000252
"Rogan, James E. (Republican - California)","Rogan, James E. ",Republican , California),R000386
"Rohrabacher, Dana (Republican - California)","Rohrabacher, Dana ",Republican , California),R000409
"Rousselot, John H. (Republican - California)","Rousselot, John H. ",Republican , California),R000469
"Roybal-Allard, Lucille (Democratic - California)","Roybal-Allard, Lucille ",Democratic , California),R000486
"Roybal, Edward R. (Democratic - California)","Roybal, Edward R. ",Democratic , California),R000485
"Royce, Edward R. (Republican - California)","Royce, Edward R. ",Republican , California),R000487
"Royer, William (Republican - California)","Royer, William ",Republican , California),R000489
"Ruiz, Raul (Democratic - California)","Ruiz, Raul ",Democratic , California),R000599
"Ryan, Leo J. (Democratic - California)","Ryan, Leo J. ",Democratic , California),R000558
"Sanchez, Linda T. (Democratic - California)","Sanchez, Linda T. ",Democratic , California),S001156
"Sanchez, Loretta (Democratic - California)","Sanchez, Loretta ",Democratic , California),S000030
"Schenk, Lynn (Democratic - California)","Schenk, Lynn ",Democratic , California),S000119
"Schiff, Adam B. (Democratic - California)","Schiff, Adam B. ",Democratic , California),S001150
"Seastrand, Andrea H. (Republican - California)","Seastrand, Andrea H. ",Republican , California),S000213
"Seymour, John (Republican - California)","Seymour, John ",Republican , California),S000269
"Sherman, Brad (Democratic - California)","Sherman, Brad ",Democratic , California),S000344
"Shumway, Norman D. (Republican - California)","Shumway, Norman D. ",Republican , California),S000393
"Sisk, B. F. (Democratic - California)","Sisk, B. F. ",Democratic , California),S000454
"Solis, Hilda L. (Democratic - California)","Solis, Hilda L. ",Democratic , California),S001153
"Speier, Jackie (Democratic - California)","Speier, Jackie ",Democratic , California),S001175
"Stark, Fortney Pete (Democratic - California)","Stark, Fortney Pete ",Democratic , California),S000810
"Swalwell, Eric (Democratic - California)","Swalwell, Eric ",Democratic , California),S001193
"Takano, Mark (Democratic - California)","Takano, Mark ",Democratic , California),T000472
"Talcott, Burt L. (Republican - California)","Talcott, Burt L. ",Republican , California),T000022
"Tauscher, Ellen O. (Democratic - California)","Tauscher, Ellen O. ",Democratic , California),T000057
"Teague, Charles M. (Republican - California)","Teague, Charles M. ",Republican , California),T000109
"Thomas, William M. (Republican - California)","Thomas, William M. ",Republican , California),T000188
"Thompson, Mike (Democratic - California)","Thompson, Mike ",Democratic , California),T000460
"Torres, Estaban Edward (Democratic - California)","Torres, Estaban Edward ",Democratic , California),T000316
"Torres, Norma J. (Democratic - California)","Torres, Norma J. ",Democratic , California),T000474
"Tucker, Walter R., III (Democratic - California)","Tucker, Walter R., III ",Democratic , California),T000405
"Tunney, John V. (Democratic - California)","Tunney, John V. ",Democratic , California),T000410
"Valadao, David G. (Republican - California)","Valadao, David G. ",Republican , California),V000129
"Van Deerlin, Lionel (Democratic - California)","Van Deerlin, Lionel ",Democratic , California),V000024
"Vargas, Juan (Democratic - California)","Vargas, Juan ",Democratic , California),V000130
"Veysey, Victor V. (Republican - California)","Veysey, Victor V. ",Republican , California),V000093
"Waldie, Jerome R. (Democratic - California)","Waldie, Jerome R. ",Democratic , California),W000035
"Walters, Mimi (Republican - California)","Walters, Mimi ",Republican , California),W000820
"Waters, Maxine (Democratic - California)","Waters, Maxine ",Democratic , California),W000187
"Watson, Diane E. (Democratic - California)","Watson, Diane E. ",Democratic , California),W000794
"Waxman, Henry A. (Democratic - California)","Waxman, Henry A. ",Democratic , California),W000215
"Wiggins, Charles E. (Republican - California)","Wiggins, Charles E. ",Republican , California),W000448
"Wilson, Charles H. (Democratic - California)","Wilson, Charles H. ",Democratic , California),W000571
"Wilson, Pete (Republican - California)","Wilson, Pete ",Republican , California),W000607
