,week1,week2,week3,week4,week5,week6,week7,week8,week9,handle
repgregwalden,-11.1850635,,0.890323,1.06429,10.1681,11.8957,9.52427,21.5939,21.3808,repgregwalden
repgrothman,2.79424,,1.18058333333,31.2619,0.739611,,2.33333,27.765,,repgrothman
repgusbilirakis,1.31244333333,,,,,,1.89796,10.7116,,repgusbilirakis
repguthrie,20.8955,4.42623,,,-0.15265,,,,,repguthrie
repgwengraham,-34.1591698333,-9.42988,-1.3205806975,-2.00957775,-1.0,,,-2.67308666667,-1.50445,repgwengraham
repgwenmoore,-15.4942825,-51.763106,-12.663022,-13.260966,-1.156932,-1.90537,-1.842651,-22.64295,1.2850675,repgwenmoore
rephalrogers,,1.2798015,4.853386,,4.06724,,,26.4561,,rephalrogers
rephankjohnson,-60.973338,-124.5044,-60.0452283333,-57.8110168333,-30.2111333333,-60.520325,-29.3012,-33.1817775,-62.3458,rephankjohnson
rephardy,2.881545,10.322063,5.22993666667,3.146738,3.6788,3.31474166667,2.34272666667,4.37933025,2.3421875,rephardy
rephartzler,2.331877,15.0098793333,12.60979,15.9302271429,6.861315,6.62530266667,1.72727,16.63846,10.0460094,rephartzler
rephastingsfl,,,,-43.46515,-29.7757,-43.9901,-30.8571,-30.68355,-14.55736,rephastingsfl
rephensarling,12.34627,12.1387,0.968933333333,2.28547,10.8814,14.5574,,0.84608,,rephensarling
repholding,,,,,5.44068,3.75,,,,repholding
rephuffman,-39.934045,-137.699665,-17.295775,-74.54865,-11.7818,,-30.46125,-30.347825,-32.61278,rephuffman
rephuizenga,5.573604,1.080827,6.8201615,5.244235,4.72727,6.81897,9.598635,,,rephuizenga
rephultgren,6.98519,6.38434333333,3.93454428571,1.879611886,3.043847825,1.26143,1.601934,7.6324718,14.7863625,rephultgren
repjasonsmith,1.403405,4.2752475,0.522451,12.6722,0.333333,4.79362,0.94898,,,repjasonsmith
repjbridenstine,,3.148411,,0.9410785,,,2.1165,,,repjbridenstine
repjeffdenham,4.20758666667,2.83466166667,2.157363,1.73824025,1.72573333333,6.422945,1.77115866667,0.0573318,4.92254666667,repjeffdenham
repjeffduncan,3.04595333333,11.29753625,2.86274,4.795745,,3.85153533333,2.885645,2.517688,6.11293333333,repjeffduncan
repjeffries,-38.53103175,-53.706497,-11.7411328,-8.9261755,-26.3022333333,-1.27869,-5.0597028,-31.41611,-10.72490775,repjeffries
repjerrynadler,-15.8630785,,-14.84869,-5.2459,,,-1.01075,-3.1569985,,repjerrynadler
repjimcooper,-6.70001,-8.67158,-9.96679,-24.05314,-1.01205935,-1.04192333333,,-4.69565,,repjimcooper
repjimcosta,-1.859375,-23.0255,-0.38201,-17.810997,-0.9065885,-1.391505,-30.8571,,-3.480705,repjimcosta
